Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
India,IND,Y. Male I,SL.UEM.1524.MA.ZS,20.86700058,21.75200081,22.67300034,23.6060009,24.55500031,25.46299934,26.47599983,22.875,31.21500015,24.03800011
India,IND,T. Youth I,SL.UEM.1524.ZS,20.54899979,21.45899963,22.4090004,23.37400055,24.3579998,25.30400085,26.35300064,22.88500023,30.89599991,23.89299965
India,IND,Y. Female I,SL.UEM.1524.FE.ZS,19.58099937,20.51199913,21.49699974,22.5189991,23.57900047,24.63199997,25.79599953,22.92399979,29.61599922,23.32600021
United Kingdom,UK,Y. Male UK,SL.UEM.1524.MA.ZS,23.71999931,22.77000046,18.72800064,16.03300095,14.63099957,13.35000038,12.09899998,12.80900002,15.15299988,14.30300045
United Kingdom,UK,T. Youth UK,SL.UEM.1524.ZS,21.04599953,20.49500084,16.79599953,14.50800037,12.89000034,11.98999977,11.18999958,11.03899956,13.43799973,12.77400017
United Kingdom,UK,Y. Female UK,SL.UEM.1524.FE.ZS,18.07799911,17.98800087,14.67199993,12.83899975,11.0170002,10.52999973,10.18500042,9.112999916,11.61299992,11.20199966
United States,USA,Y. Male US,SL.UEM.1524.MA.ZS,17.61300087,17.00399971,14.52799988,12.74199963,11.41399956,10.31299973,9.508000374,9.359000206,14.9460001,10.48400021
United States,USA,T. Youth US,SL.UEM.1524.ZS,16.19799995,15.52400017,13.39599991,11.60599995,10.4090004,9.244000435,8.612999916,8.37100029,14.87300014,9.706000328
United States,USA,Y. Female US,SL.UEM.1524.FE.ZS,14.6239996,13.88599968,12.15200043,10.36800003,9.30700016,8.079000473,7.657000065,7.313000202,14.79399967,8.864999771
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 03/01/2023,,,,,,,,,,,,,
